node,nodeid,pilot_count,pilot_count_adj
terz6,25,99,113
tszdf,55,104,81
tsz76,56,99,106
ttqsh,64,47,38
ts5d5,40,38,31
tu7uz,49,63,29
tet8u,27,12,13
tdrq6,6,32,36
tgkm9,33,60,68
teunf,39,69,65
tdv40,15,83,82
tgv81,42,71,81
tst00,47,59,67
tuxvd,65,46,3
tdqfz,5,18,21
tdr2f,3,6,7
te7vq,29,6,7
tuqb8,58,20,23
tun8x,52,62,40
tsmj3,44,61,21
tdw31,9,93,92
tujrx,51,62,64
ttn8u,60,111,100
ttngg,61,24,7
tetnt,31,43,49
wh9jx,66,23,26
tf8b3,8,46,53
tug0j,57,19,22
tdxjw,10,54,61
tdtrh,12,46,53
tep9v,16,22,25
tepeg,17,13,14
tsjby,36,60,68
tuj3g,46,31,35
tsvbc,54,63,71
tsxbc,45,147,168
tgugw,41,11,12
tsk2e,43,79,90
tu9jr,50,88,100
tdpx7,2,61,69
tdz6x,11,56,64
tf2fr,7,68,78
tewep,28,21,24
tdrg4,4,11,12
tustj,59,39,44
tgb05,30,73,83
tequz,23,19,22
tuwzs,63,64,53
tduy5,18,17,20
tu066,37,100,114
tv0s3,62,56,12
tfbvd,13,17,20
tek6j,26,50,57
tgcby,34,13,14
tg19b,20,26,30
tgg9u,38,15,18
tejuv,21,51,58
tehsu,22,75,86
tegbk,35,26,30
tdpd8,1,62,39
tsz3t,53,89,81
tepv9,19,30,34
teegd,32,46,53
tfcmd,14,51,58
tu7pe,48,48,55
tg4ur,24,42,48
